bootstrap_iteration,0-0,0-15,0-30,0-40,15-0,15-15,15-30,15-40,30-0,30-15,30-30,30-40,40-0,40-15,40-30,40-40,AD-40,40-AD
65,0.6646526880651893,0.48859297886209146,0.2855159154026917,0.09172482552342971,0.8006228324722202,0.6471689478720306,0.43257556187031776,0.19257175014068656,0.9112947658402204,0.8073907077043717,0.6265760269595027,0.3472904420645785,0.9739599226935205,0.9364007137394851,0.8393853872687362,0.6185774503474728,0.8313236780060627,0.343605815269435
66,0.6616611453849358,0.48677522590361444,0.2839798001504244,0.09892580564576568,0.7932384714890046,0.6429195258889582,0.42512698514756,0.18799597630490666,0.9051055056997332,0.8059172172561213,0.6221444151073355,0.3385045981607357,0.9719645433931148,0.9346092503987241,0.8381385627343702,0.623728311938145,0.8365428256500033,0.3409149651072629
67,0.6603223661046125,0.4814900831436667,0.27845719661335844,0.10488846701471286,0.7958831844981553,0.6433815904094247,0.4235286525554982,0.18941473591742616,0.9063834836260085,0.8027394617536414,0.6212704800229951,0.34068822685996497,0.9719246031746032,0.9316277018085576,0.8333333333333334,0.6143009919976399,0.8320484944323647,0.3374099514156475
68,0.6652973780415897,0.4918559195830231,0.292006352567496,0.10889381621088938,0.7965731330859145,0.6484465377623533,0.43397071049434033,0.19950903816112475,0.9047276217902568,0.8040917244388422,0.627312326752277,0.34968593464260156,0.9724752277049344,0.9339477726574501,0.8356356968215158,0.6274386639077741,0.8399687235290285,0.349009900990099
69,0.6648224719973599,0.4873766618798351,0.28081023454157783,0.09517953762911953,0.797784691121671,0.6449023061483635,0.4275800025703637,0.18738006547014335,0.9082638807371757,0.8045144804088586,0.6229764430054706,0.33794357069469694,0.9742825935855427,0.9358114461229863,0.8419465717903878,0.6210257170384644,0.8360345052934257,0.33938200804587865
70,0.6644470634452956,0.4912110278471644,0.2871696911811525,0.10480673934588702,0.7975075712744109,0.6497705294214063,0.4305537792556593,0.19564489112227806,0.9061024337086815,0.8064360960123143,0.630293435856844,0.3522816990367914,0.9724640615509212,0.9326352084796629,0.8377965272682808,0.6257512292842834,0.8357818088911599,0.34706331045003813
71,0.6650198207346365,0.49097472924187724,0.2810326659641728,0.09407247420206384,0.7969958563535912,0.6517033575206002,0.4361148583542108,0.190893760539629,0.9065739797447114,0.8059006956104582,0.6307414513034646,0.34281627463445646,0.9722500500901623,0.9316125767065224,0.8384295277727519,0.6231251399149317,0.8357491105547503,0.34543577389658436
72,0.6586538461538461,0.4835468706793253,0.27820808038517897,0.10526315789473684,0.7932813816343723,0.6442966878665235,0.4233534839325485,0.18536048431480462,0.9035638135851356,0.8047443485010187,0.6240635641316685,0.3398197623414945,0.97260415589786,0.9333804445586534,0.83417729241657,0.6195336924177935,0.8310121943093223,0.3445108742743263
73,0.6636674816625917,0.4859873793615442,0.2834662190516156,0.10518626734842951,0.7973696019883324,0.6466007416563658,0.42661135928525845,0.19263392857142858,0.9078294156349064,0.8072971675468075,0.6220383814508413,0.34344314222363004,0.9725474364150182,0.937196238086221,0.8390335929892891,0.6250321254176304,0.8356661482633488,0.34968233799237614
74,0.6649337813797193,0.48785046728971965,0.2819171648163962,0.09912959381044488,0.7981818181818182,0.6480235841222388,0.4332207353514356,0.19761153672825596,0.9075853732245391,0.8056041181041181,0.6251941328731665,0.3531443257569673,0.971839546191248,0.9345746715980104,0.837566596456449,0.6272634483801459,0.8382372432074221,0.3470339728920965
75,0.6612618684215743,0.4820937922041634,0.28701570680628274,0.10238263741448454,0.7992109341975483,0.6443923080145796,0.43535961675406226,0.1979224840835474,0.9072992700729927,0.8011046999062977,0.6258353187285722,0.35146714089402636,0.9737161342498989,0.9299793867559907,0.8296039174363107,0.623311506080449,0.836272040302267,0.3471685142218785
76,0.6677108009162278,0.4866285289056323,0.28127632687447346,0.10004856726566294,0.8039059799516073,0.6538366438638424,0.4343453753522931,0.1967194697225031,0.9108471322294216,0.8118778552536667,0.6291004686249857,0.3524014680070209,0.9736416885477681,0.9363915522967976,0.8393801500430451,0.6255750458166586,0.8390781827786582,0.3466183574879227
77,0.6693543652269214,0.4935897435897436,0.29191745485812554,0.10713391739674594,0.8008857152665728,0.6522720742169862,0.43689383163067375,0.19765231973169367,0.9070554697707566,0.8061971022808779,0.6339540728892951,0.353120732588963,0.9710560110639138,0.9309673366834171,0.8396734200181434,0.6260582207039952,0.8350763234816498,0.34714397156973215
78,0.6671058582918723,0.49186934720464875,0.27894286325700834,0.09196796893957777,0.7986014954306286,0.6544535168068968,0.43348593852190975,0.18781378366042903,0.9055038204393505,0.8078749220660879,0.6283861340679523,0.3443692605123248,0.974997489707802,0.9346724235029097,0.8380671338989303,0.6206870517176293,0.8343100692594566,0.3410616229408176
79,0.664262757701654,0.48828686737486665,0.2855013838620396,0.10559610705596106,0.7979909941115345,0.6462043496101765,0.43252461548362187,0.19630380887987378,0.9082453192510802,0.8045112781954887,0.6233589087809037,0.34473205097759835,0.9711946634323833,0.9346289752650176,0.8362196020633751,0.6250968241673122,0.8346054333764553,0.347094669985409
80,0.6652858650201259,0.48865932047750227,0.2783603431839847,0.1056475170399221,0.8009381514940931,0.650233587410868,0.4303725291434364,0.19618648738013889,0.9093030212384086,0.8100555958423978,0.6269697313229793,0.3478157644824311,0.9730352846832397,0.9356825396825397,0.8390580196449271,0.6205918119173085,0.8353444920202413,0.33816754819996586
81,0.6606963409587988,0.4837555194050662,0.28405887879736924,0.09837654470559729,0.7952602003420474,0.6428096977748257,0.4251362616223148,0.18913816081741447,0.9083252544837616,0.80498227553052,0.6201812758145938,0.3425720620842572,0.9724845161945375,0.9335655478150728,0.8371040723981901,0.6218728187796186,0.8334195550957062,0.3435692412385165
