player,DR+,DR,BLR,serve_LR,return_LR,serve_points_won_rate,return_points_won_rate,serve_points_lost_rate,points,matches,serve_points,return_points,serve_points_won,return_points_won,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,drplus_rank
Anhelina Kalinina,0.9352397633766891,0.9252501966385164,1.0107966113106113,0.7397147913321175,1.281878431289105,0.5320877335499594,0.43293591654247393,0.4679122664500406,2573.0,19.0,1231.0,1342.0,655.0,581.0,0.15302811167635005,0.20687447847401963,0.2040987770539607,0.15921851251425717,68,56
Solana Sierra,0.9339356085632858,0.8762795579597047,1.0657964117499503,0.7483284271576361,1.3832643963422646,0.5311804008908686,0.4108170310701956,0.4688195991091314,1767.0,15.0,898.0,869.0,477.0,357.0,0.15834491442203405,0.21159815486827488,0.20094913545504192,0.1452716747329052,55,57
Viktorija Golubic,0.9057368304383382,0.8731341075691681,1.0373398800786022,0.758422776828914,1.3162569833282907,0.5304621848739496,0.40996948118006105,0.4695378151260504,1935.0,18.0,952.0,983.0,505.0,403.0,0.1554605834997725,0.2049787905233778,0.2025510181905098,0.15388409767698918,73,58
Marie Bouzkova,0.9004582721798893,0.8742765422516199,1.0299467372884565,0.7407831048079957,1.3191103697689173,0.5498901098901099,0.3935205183585313,0.4501098901098901,4590.0,39.0,2275.0,2315.0,1251.0,911.0,0.15275276369978225,0.2062044378554967,0.1979094988967414,0.1500325548433156,27,59
Alycia Parks,0.8995723824463665,0.8780233058671089,1.0245427159339198,0.7548402453098065,1.294245186558033,0.5366548042704626,0.406827880512091,0.46334519572953736,2811.0,22.0,1405.0,1406.0,754.0,572.0,0.1542207739323617,0.20430915666011606,0.19701518260986497,0.1522240025738979,76,60
Varvara Gracheva,0.8961776361239094,0.8851099554483636,1.012504300293334,0.7332663689341206,1.2917422316525475,0.5084241823587711,0.43509865005192105,0.49157581764122893,1972.0,15.0,1009.0,963.0,513.0,419.0,0.15495033488895216,0.21131520747936208,0.20288761849484857,0.15706509667589874,69,61
Jaqueline Cristian,0.8956233934185782,0.8453837597330367,1.0594281982675025,0.7641570627252372,1.3546993338097677,0.5421052631578948,0.3870967741935484,0.45789473684210524,2601.0,18.0,1330.0,1271.0,721.0,492.0,0.1582279301513613,0.20706205290711846,0.19982749905003985,0.1475068999171003,39,62
Shuai Zhang,0.8703035285908779,0.836587129428778,1.0403023163709457,0.7403362673415582,1.3402683654003331,0.5291113381001021,0.3939393939393939,0.47088866189989786,1903.0,19.0,979.0,924.0,518.0,364.0,0.15100401275818867,0.2039667910643126,0.19399915110360996,0.14474649712832932,64,63
Ajla Tomljanovic,0.8621799380554147,0.8312800360278104,1.0371714713314377,0.756629369543153,1.3177135731197223,0.5311890838206628,0.3897131552917903,0.46881091617933723,2037.0,21.0,1026.0,1011.0,545.0,394.0,0.15375810204017237,0.20321455686158513,0.1986013933930858,0.15071666365467548,92,64
Kimberly Birrell,0.7299901106774341,0.6832067109844887,1.0684762004540784,0.7562518015318145,1.3807005993763424,0.49919743178170145,0.3421516754850088,0.5008025682182986,1190.0,13.0,623.0,567.0,311.0,194.0,0.1581515230034816,0.20912548265424313,0.19627431826344113,0.1421555972034035,70,65
