bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
448,59,0.9156633547632963,8,0.8,14,0.7
449,59,0.8678550555230861,8,0.8,16,0.8
450,59,0.886732904734074,6,0.6,18,0.9
451,59,0.8942723553477501,8,0.8,16,0.8
452,59,0.8963179427235535,6,0.6,17,0.85
453,59,0.9215663354763297,8,0.8,18,0.9
454,59,0.8556399766218588,8,0.8,15,0.75
455,59,0.8999415546464057,7,0.7,17,0.85
456,59,0.8177089421391001,7,0.7,15,0.75
457,59,0.9112215078901229,7,0.7,16,0.8
458,59,0.8378725891291643,5,0.5,17,0.85
459,59,0.9018702513150206,6,0.6,17,0.85
460,59,0.862887200467563,6,0.6,17,0.85
461,59,0.8355932203389832,7,0.7,16,0.8
462,59,0.8424897720631211,8,0.8,15,0.75
463,59,0.8571595558153129,8,0.8,16,0.8
464,59,0.8908825248392755,8,0.8,17,0.85
465,59,0.9343658679135008,8,0.8,17,0.85
466,59,0.9261835184102865,8,0.8,18,0.9
467,59,0.8560490940970195,6,0.6,15,0.75
468,59,0.9136177673874929,6,0.6,18,0.9
469,59,0.8610169491525426,7,0.7,14,0.7
470,59,0.8877849210987727,8,0.8,18,0.9
471,59,0.9210403272939802,9,0.9,18,0.9
472,59,0.9113383985973117,7,0.7,16,0.8
473,59,0.9085914669783755,8,0.8,15,0.75
474,59,0.8785505552308592,6,0.6,17,0.85
475,59,0.869491525423729,8,0.8,17,0.85
476,59,0.9077732320280539,6,0.6,15,0.75
477,59,0.9191116306253654,9,0.9,17,0.85
478,59,0.855990648743425,8,0.8,15,0.75
479,59,0.8924605493863239,7,0.7,18,0.9
480,59,0.9266510812390416,6,0.6,17,0.85
481,59,0.9163646990064291,8,0.8,16,0.8
482,59,0.8914669783752193,6,0.6,17,0.85
483,59,0.8805376972530685,8,0.8,17,0.85
484,59,0.9322033898305087,7,0.7,17,0.85
485,59,0.8633547632963181,7,0.7,16,0.8
486,59,0.8620105201636472,7,0.7,15,0.75
487,59,0.8419637638807717,7,0.7,16,0.8
488,59,0.8439509059029808,4,0.4,16,0.8
489,59,0.8978375219170076,8,0.8,17,0.85
490,59,0.9319696084161311,7,0.7,17,0.85
491,59,0.8775569842197546,7,0.7,17,0.85
492,59,0.818293395675044,6,0.6,15,0.75
493,59,0.9497954412624197,9,0.9,17,0.85
494,59,0.8414377556984222,6,0.6,19,0.95
495,59,0.805669199298656,7,0.7,14,0.7
496,59,0.8953243717124489,8,0.8,16,0.8
497,59,0.8466393921683227,6,0.6,17,0.85
498,59,0.9067796610169493,8,0.8,17,0.85
499,59,0.8645236703682059,8,0.8,17,0.85
500,59,0.8297486849795443,8,0.8,16,0.8
501,59,0.8067796610169492,7,0.7,13,0.65
502,59,0.8958503798947985,7,0.7,15,0.75
503,59,0.8405026300409119,6,0.6,15,0.75
504,59,0.8844535359438925,7,0.7,15,0.75
505,59,0.8869666861484513,8,0.8,16,0.8
506,59,0.9062536528345998,9,0.9,18,0.9
507,59,0.8940385739333724,6,0.6,15,0.75
508,59,0.8995908825248393,7,0.7,16,0.8
509,59,0.9346580946814729,9,0.9,17,0.85
510,59,0.8960257159555817,8,0.8,17,0.85
511,59,0.8691408533021626,8,0.8,16,0.8
512,59,0.9052600818234953,7,0.7,14,0.7
513,59,0.8637638807714788,7,0.7,18,0.9
514,59,0.8838106370543543,5,0.5,16,0.8
515,59,0.8345412039742841,9,0.9,17,0.85
516,59,0.926709526592636,7,0.7,16,0.8
517,59,0.8600233781414378,6,0.6,16,0.8
518,59,0.8260081823495034,8,0.8,15,0.75
519,59,0.8865575686732906,7,0.7,16,0.8
520,59,0.9358854471069553,8,0.8,18,0.9
521,59,0.8985388661601406,7,0.7,16,0.8
522,59,0.928053769725307,7,0.7,16,0.8
523,59,0.9398597311513737,8,0.8,16,0.8
524,59,0.9189947399181768,8,0.8,17,0.85
525,59,0.8638223261250731,7,0.7,15,0.75
526,59,0.8793103448275863,7,0.7,14,0.7
527,59,0.8378725891291643,9,0.9,16,0.8
528,59,0.8894213909994156,7,0.7,15,0.75
529,59,0.8854471069549972,7,0.7,16,0.8
530,59,0.8943892460549389,7,0.7,17,0.85
531,59,0.8549970777323205,7,0.7,18,0.9
532,59,0.9331385154880188,8,0.8,18,0.9
533,59,0.8991233196960843,5,0.5,18,0.9
534,59,0.8742255990648744,7,0.7,17,0.85
535,59,0.9206896551724141,9,0.9,15,0.75
536,59,0.9065458796025717,8,0.8,16,0.8
537,59,0.9014026884862655,7,0.7,16,0.8
538,59,0.8990648743424899,8,0.8,16,0.8
539,59,0.8978375219170076,6,0.6,17,0.85
540,59,0.8574517825832847,7,0.7,17,0.85
541,59,0.8632378725891293,7,0.7,14,0.7
542,59,0.9001753360607834,8,0.8,16,0.8
543,59,0.8914669783752193,7,0.7,15,0.75
544,59,0.9034482758620691,7,0.7,16,0.8
545,59,0.8803623611922853,6,0.6,17,0.85
